CONTAINER LIFECYCLE STATE TRACKING
State Machine: 7-State Container Lifecycle
Configuration:
  Base Memory: 125.0 MB
  Memory Multiplier: 1.5
  Total GPU Memory: 4096.0 MB

STATE DEFINITIONS
State,Phase,Description,Actions
CREATED,Registration,Container registered in scheduler,Memory allocated from pool
STARTING,Initialization,Subprocess being created,Process object created
ALLOCATING_MEMORY,GPU Setup,GPU memory allocation in progress,torch.zeros() executed
RUNNING,Execution,Container actively using GPU,Worker process executing
RELEASING_MEMORY,Cleanup,Memory being released,torch.cuda.empty_cache() called
COMPLETED,Final (Success),Container completed successfully,"Exit code 0, memory freed"
FAILED,Final (Error),Container failed with error,"Exit code != 0, memory freed"

Container ID,Current State,Timestamp (s),Time Since Launch (s),Memory Allocated (MB),Container Status,State Description
34,ALLOCATING_MEMORY,1774879197.85,0.00,1423.8,✓ SUCCESS,GPU memory being allocated
34,RUNNING,1774879197.85,0.00,1423.8,✓ SUCCESS,Active execution on GPU
34,RELEASING_MEMORY,1774879261.64,63.78,1423.8,✓ SUCCESS,Releasing allocated memory
34,COMPLETED,1774879261.64,63.78,1423.8,✓ SUCCESS,Finished successfully
35,STARTING,1774879256.54,0.00,2135.7,✓ SUCCESS,Process being launched
35,ALLOCATING_MEMORY,1774879256.54,0.00,2135.7,✓ SUCCESS,GPU memory being allocated
35,RUNNING,1774879256.54,0.00,2135.7,✓ SUCCESS,Active execution on GPU
35,RELEASING_MEMORY,1774879320.28,63.75,2135.7,✓ SUCCESS,Releasing allocated memory
35,COMPLETED,1774879320.28,63.75,2135.7,✓ SUCCESS,Finished successfully
36,STARTING,1774879320.28,0.00,3203.6,✓ SUCCESS,Process being launched
36,ALLOCATING_MEMORY,1774879320.28,0.00,3203.6,✓ SUCCESS,GPU memory being allocated
36,RUNNING,1774879320.28,0.00,3203.6,✓ SUCCESS,Active execution on GPU
36,RELEASING_MEMORY,1774879384.08,63.80,3203.6,✓ SUCCESS,Releasing allocated memory
36,COMPLETED,1774879384.08,63.80,3203.6,✓ SUCCESS,Finished successfully
37,STARTING,1774879323.01,0.00,125.0,✓ SUCCESS,Process being launched
37,ALLOCATING_MEMORY,1774879323.01,0.00,125.0,✓ SUCCESS,GPU memory being allocated
37,RUNNING,1774879323.01,0.00,125.0,✓ SUCCESS,Active execution on GPU
37,RELEASING_MEMORY,1774879386.85,63.84,125.0,✓ SUCCESS,Releasing allocated memory
37,COMPLETED,1774879386.85,63.84,125.0,✓ SUCCESS,Finished successfully
38,STARTING,1774879328.02,0.00,187.5,✓ SUCCESS,Process being launched
38,ALLOCATING_MEMORY,1774879328.02,0.00,187.5,✓ SUCCESS,GPU memory being allocated
38,RUNNING,1774879328.02,0.00,187.5,✓ SUCCESS,Active execution on GPU
38,RELEASING_MEMORY,1774879391.81,63.80,187.5,✓ SUCCESS,Releasing allocated memory
38,COMPLETED,1774879391.81,63.80,187.5,✓ SUCCESS,Finished successfully
39,STARTING,1774879388.10,0.00,281.2,✓ SUCCESS,Process being launched
39,ALLOCATING_MEMORY,1774879388.10,0.00,281.2,✓ SUCCESS,GPU memory being allocated
39,RUNNING,1774879388.10,0.00,281.2,✓ SUCCESS,Active execution on GPU
39,RELEASING_MEMORY,1774879451.77,63.67,281.2,✓ SUCCESS,Releasing allocated memory
39,COMPLETED,1774879451.77,63.67,281.2,✓ SUCCESS,Finished successfully
40,STARTING,1774879393.10,0.00,421.9,✓ SUCCESS,Process being launched
40,ALLOCATING_MEMORY,1774879393.10,0.00,421.9,✓ SUCCESS,GPU memory being allocated
40,RUNNING,1774879393.10,0.00,421.9,✓ SUCCESS,Active execution on GPU
40,RELEASING_MEMORY,1774879456.73,63.63,421.9,✓ SUCCESS,Releasing allocated memory
40,COMPLETED,1774879456.73,63.63,421.9,✓ SUCCESS,Finished successfully
41,STARTING,1774879398.10,0.00,632.8,✓ SUCCESS,Process being launched
41,ALLOCATING_MEMORY,1774879398.10,0.00,632.8,✓ SUCCESS,GPU memory being allocated
41,RUNNING,1774879398.10,0.00,632.8,✓ SUCCESS,Active execution on GPU
41,RELEASING_MEMORY,1774879461.79,63.69,632.8,✓ SUCCESS,Releasing allocated memory
41,COMPLETED,1774879461.79,63.69,632.8,✓ SUCCESS,Finished successfully
42,STARTING,1774879453.18,0.00,949.2,✓ SUCCESS,Process being launched
42,ALLOCATING_MEMORY,1774879453.18,0.00,949.2,✓ SUCCESS,GPU memory being allocated
42,RUNNING,1774879453.18,0.00,949.2,✓ SUCCESS,Active execution on GPU
