DETAILED TIMELINE - FIRST HOUR (3600 seconds)
Shows ACTUAL overlapping container execution with correct parallelism

Configuration:
Base Memory (M0),125.0 MB
Memory Multiplier,1.5x
Total GPU Memory,4096.0 MB
Container Duration,60 seconds (1 min)
Max Concurrent,3
Reset Interval,3 containers (dynamic)

Time (s),Containers Running,Container IDs,Memory Used (MB),Memory %,Remaining (MB),Can Launch New?,Decision Reason
1190,3,"C58, C59, C60",593.8,14.50%,3502.2,NO,Max parallel
1195,3,"C58, C59, C60",593.8,14.50%,3502.2,NO,Max parallel
1200,3,"C59, C60, C61",593.8,14.50%,3502.2,NO,Max parallel
1205,3,"C60, C61, C62",593.8,14.50%,3502.2,NO,Max parallel
1210,3,"C61, C62, C63",593.8,14.50%,3502.2,NO,Max parallel
1215,3,"C61, C62, C63",593.8,14.50%,3502.2,NO,Max parallel
1220,3,"C61, C62, C63",593.8,14.50%,3502.2,NO,Max parallel
1225,3,"C61, C62, C63",593.8,14.50%,3502.2,NO,Max parallel
1230,3,"C61, C62, C63",593.8,14.50%,3502.2,NO,Max parallel
1235,3,"C61, C62, C63",593.8,14.50%,3502.2,NO,Max parallel
1240,3,"C61, C62, C63",593.8,14.50%,3502.2,NO,Max parallel
1245,3,"C61, C62, C63",593.8,14.50%,3502.2,NO,Max parallel
1250,3,"C61, C62, C63",593.8,14.50%,3502.2,NO,Max parallel
1255,3,"C61, C62, C63",593.8,14.50%,3502.2,NO,Max parallel
1260,3,"C62, C63, C64",593.8,14.50%,3502.2,NO,Max parallel
1265,3,"C63, C64, C65",593.8,14.50%,3502.2,NO,Max parallel
1270,3,"C64, C65, C66",593.8,14.50%,3502.2,NO,Max parallel
1275,3,"C64, C65, C66",593.8,14.50%,3502.2,NO,Max parallel
1280,3,"C64, C65, C66",593.8,14.50%,3502.2,NO,Max parallel
1285,3,"C64, C65, C66",593.8,14.50%,3502.2,NO,Max parallel
1290,3,"C64, C65, C66",593.8,14.50%,3502.2,NO,Max parallel
1295,3,"C64, C65, C66",593.8,14.50%,3502.2,NO,Max parallel
1300,3,"C64, C65, C66",593.8,14.50%,3502.2,NO,Max parallel
1305,3,"C64, C65, C66",593.8,14.50%,3502.2,NO,Max parallel
