COMPREHENSIVE EXECUTION SCHEDULE
Complete container lifecycle with concurrent execution details
Generated:,2026-03-30 14:45:42

CONFIGURATION
Base Memory:,125.0 MB
Memory Multiplier:,1.5x
Total GPU Memory:,4096.0 MB
Container Duration:,60s
Max Concurrent:,3
Reset Interval (cycle):,3

INDIVIDUAL CONTAINER EXECUTION
Container ID,Memory (MB),Type (n/cycle),Launch Time (s),Completion Time (s),Duration Actual (s),Status,State Count,Peak Concurrent,Overlapping Containers
117,3203.6,3/3,1774881662.86,1774881726.70,63.84,✓ COMPLETED,5,2,"C118, C119"
118,125.0,1/3,1774881665.56,1774881729.23,63.67,✓ COMPLETED,5,2,"C117, C119"
119,187.5,2/3,1774881670.56,1774881734.31,63.74,✓ COMPLETED,5,3,"C117, C118, C120"
120,281.2,3/3,1774881730.61,1774881794.32,63.71,✓ COMPLETED,5,3,"C119, C121, C122"
121,421.9,1/3,1774881735.61,1774881799.31,63.70,✓ COMPLETED,5,3,"C120, C122, C123"
122,632.8,2/3,1774881740.62,1774881804.49,63.87,✓ COMPLETED,5,4,"C120, C121, C123, C124"
123,949.2,3/3,1774881795.65,1774881859.41,63.75,✓ COMPLETED,5,3,"C121, C122, C124"
124,1423.8,1/3,1774881800.66,1774881864.46,63.80,✓ COMPLETED,5,3,"C122, C123, C125"
125,2135.7,2/3,1774881859.41,1774881923.17,63.76,✓ COMPLETED,5,1,C124
126,3203.6,3/3,1774881923.17,N/A,N/A,RUNNING,3,0,None
127,125.0,1/3,1774881925.75,N/A,N/A,RUNNING,3,0,None
128,187.5,2/3,1774881930.76,N/A,N/A,RUNNING,3,0,None

CONCURRENT EXECUTION ANALYSIS
Time Point (s),Concurrent Count,Container IDs,Total Memory (MB),Memory %,Remaining (MB),Event Type
1774878336.96,1,C1,125.0,3.05%,3971.0,LAUNCH
1774878341.96,2,"C1, C2",312.5,7.63%,3783.5,LAUNCH
1774878346.97,3,"C1, C2, C3",593.8,14.50%,3502.2,LAUNCH
1774878400.77,2,"C2, C3",468.8,11.44%,3627.2,LAUNCH
1774878402.02,3,"C2, C3, C4",890.6,21.74%,3205.4,LAUNCH
1774878405.61,2,"C3, C4",703.1,17.17%,3392.9,LAUNCH
1774878407.02,3,"C3, C4, C5",1335.9,32.62%,2760.1,LAUNCH
1774878410.58,2,"C4, C5",1054.7,25.75%,3041.3,LAUNCH
1774878412.03,3,"C4, C5, C6",2003.9,48.92%,2092.1,LAUNCH
1774878465.72,2,"C5, C6",1582.0,38.62%,2514.0,LAUNCH
1774878467.08,3,"C5, C6, C7",3005.9,73.39%,1090.1,LAUNCH
1774878470.81,2,"C6, C7",2373.0,57.94%,1723.0,LAUNCH
1774878475.82,1,C7,1423.8,34.76%,2672.2,LAUNCH
1774878475.82,2,"C7, C8",3559.6,86.90%,536.4,LAUNCH
1774878530.83,1,C8,2135.7,52.14%,1960.3,LAUNCH
1774878539.57,1,C9,3203.6,78.21%,892.4,LAUNCH
1774878542.16,2,"C9, C10",3328.6,81.26%,767.4,LAUNCH
1774878547.16,3,"C9, C10, C11",3516.1,85.84%,579.9,LAUNCH
1774878603.38,2,"C10, C11",312.5,7.63%,3783.5,LAUNCH
1774878605.92,1,C11,187.5,4.58%,3908.5,LAUNCH
1774878607.22,2,"C11, C12",468.8,11.44%,3627.2,LAUNCH
1774878610.91,1,C12,281.2,6.87%,3814.8,LAUNCH
1774878612.23,2,"C12, C13",703.1,17.17%,3392.9,LAUNCH
1774878617.23,3,"C12, C13, C14",1335.9,32.62%,2760.1,LAUNCH
1774878670.92,2,"C13, C14",1054.7,25.75%,3041.3,LAUNCH
1774878672.29,3,"C13, C14, C15",2003.9,48.92%,2092.1,LAUNCH
1774878675.90,2,"C14, C15",1582.0,38.62%,2514.0,LAUNCH
1774878677.29,3,"C14, C15, C16",3005.9,73.39%,1090.1,LAUNCH
