MEMORY USAGE TIMELINE
Generated from container execution schedule with dynamic memory model (cycle=3)
Configuration:
  Total GPU Memory: 4096.0 MB
  Base Memory: 125.0 MB
  Memory Multiplier: 1.5
  Container Duration: 60 seconds
  Reset Interval: 3 containers (dynamic)

Timestamp (s),Active Containers (count),Container IDs,Total Memory Used (MB),Used %,Remaining Capacity (MB),Available %,Memory Pressure,Can Launch?
385,12,"C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
390,12,"C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
395,12,"C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
400,12,"C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
405,12,"C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
410,12,"C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
415,12,"C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
420,12,"C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
425,12,"C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
430,12,"C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
435,12,"C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
440,12,"C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
445,12,"C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
450,12,"C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
455,12,"C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
460,12,"C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
465,12,"C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
470,12,"C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
475,12,"C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
480,12,"C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
485,12,"C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
490,12,"C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
495,12,"C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99, C100",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
500,12,"C90, C91, C92, C93, C94, C95, C96, C97, C98, C99, C100, C101",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
505,12,"C91, C92, C93, C94, C95, C96, C97, C98, C99, C100, C101, C102",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
510,12,"C92, C93, C94, C95, C96, C97, C98, C99, C100, C101, C102, C103",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
515,12,"C93, C94, C95, C96, C97, C98, C99, C100, C101, C102, C103, C104",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
520,12,"C94, C95, C96, C97, C98, C99, C100, C101, C102, C103, C104, C105",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
525,12,"C95, C96, C97, C98, C99, C100, C101, C102, C103, C104, C105, C106",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
530,12,"C96, C97, C98, C99, C100, C101, C102, C103, C104, C105, C106, C107",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
535,12,"C97, C98, C99, C100, C101, C102, C103, C104, C105, C106, C107, C108",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
540,12,"C98, C99, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
545,12,"C99, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
550,12,"C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
555,12,"C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
560,12,"C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
565,12,"C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
570,12,"C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
575,12,"C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
580,12,"C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
585,12,"C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
590,12,"C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
595,12,"C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
600,12,"C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
605,12,"C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
610,12,"C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
615,12,"C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
620,12,"C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
625,12,"C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
630,12,"C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
635,12,"C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
640,12,"C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
