CHRONOLOGICAL EVENT TIMELINE
Complete scheduling events with container state transitions and memory status
Generated:,2026-03-30 14:45:42

CONFIGURATION
Base Memory:,125.0 MB
Memory Multiplier:,1.5x
Total GPU Memory:,4096.0 MB
Container Duration:,60s
Max Concurrent:,3
Reset Interval (cycle):,3

Time (s),Event,Container,Action,Active Containers,Memory Used (MB),Memory %,Free Memory (MB),Notes
1774880760.0,LAUNCH,C88,"Launch C88 (type 1/3, 1424 MB)","C86, C87, C88",3005.9,73.39%,1090.1,"C88 starts, 3 now active"
1774880763.6,COMPLETION,C86,C86 completes (free 633 MB),"C87, C88",2373.0,57.94%,1723.0,"Free C86, 2 still active"
1774880765.0,QUEUED,C89,"C89 queued (WAITING_MEMORY, needs 2136 MB)","C87, C88",2373.0,57.94%,1723.0,C89 blocked - WAITING_MEMORY (free 1723 < needed 2136)
1774880818.7,COMPLETION,C87,C87 completes (free 949 MB),C88,1423.8,34.76%,2672.2,"Free C87, 1 still active"
1774880818.7,LAUNCH,C89,"Launch C89 (type 2/3, 2136 MB)","C88, C89",3559.6,86.90%,536.4,"C89 starts, 2 now active"
1774880820.0,QUEUED,C90,"C90 queued (WAITING_MEMORY, needs 3204 MB)","C88, C89",3559.6,86.90%,536.4,C90 blocked - WAITING_MEMORY (free 536 < needed 3204)
1774880823.7,COMPLETION,C88,C88 completes (free 1424 MB),C89,2135.7,52.14%,1960.3,"Free C88, 1 still active"
1774880882.5,COMPLETION,C89,C89 completes (free 2136 MB),(empty),0.0,0.00%,4096.0,"Free C89, was queued for 1 event(s)"
1774880882.5,LAUNCH,C90,"Launch C90 (type 3/3, 3204 MB)",C90,3203.6,78.21%,892.4,C90 starts
1774880885.0,LAUNCH,C91,"Launch C91 (type 1/3, 125 MB)","C90, C91",3328.6,81.26%,767.4,"C91 starts, 2 now active"
1774880890.0,LAUNCH,C92,"Launch C92 (type 2/3, 188 MB)","C90, C91, C92",3516.1,85.84%,579.9,"C92 starts, 3 now active"
1774880946.2,COMPLETION,C90,C90 completes (free 3204 MB),"C91, C92",312.5,7.63%,3783.5,"Free C90, was queued for 1 event(s), 2 still active"
1774880948.7,COMPLETION,C91,C91 completes (free 125 MB),C92,187.5,4.58%,3908.5,"Free C91, 1 still active"
1774880950.1,LAUNCH,C93,"Launch C93 (type 3/3, 281 MB)","C92, C93",468.8,11.44%,3627.2,"C93 starts, 2 now active"
1774880953.8,COMPLETION,C92,C92 completes (free 188 MB),C93,281.2,6.87%,3814.8,"Free C92, 1 still active"
1774880955.1,LAUNCH,C94,"Launch C94 (type 1/3, 422 MB)","C93, C94",703.1,17.17%,3392.9,"C94 starts, 2 now active"
1774880960.1,LAUNCH,C95,"Launch C95 (type 2/3, 633 MB)","C93, C94, C95",1335.9,32.62%,2760.1,"C95 starts, 3 now active"
1774881013.8,COMPLETION,C93,C93 completes (free 281 MB),"C94, C95",1054.7,25.75%,3041.3,"Free C93, 2 still active"
1774881015.1,LAUNCH,C96,"Launch C96 (type 3/3, 949 MB)","C94, C95, C96",2003.9,48.92%,2092.1,"C96 starts, 3 now active"
1774881018.9,COMPLETION,C94,C94 completes (free 422 MB),"C95, C96",1582.0,38.62%,2514.0,"Free C94, 2 still active"
1774881020.1,LAUNCH,C97,"Launch C97 (type 1/3, 1424 MB)","C95, C96, C97",3005.9,73.39%,1090.1,"C97 starts, 3 now active"
1774881023.8,COMPLETION,C95,C95 completes (free 633 MB),"C96, C97",2373.0,57.94%,1723.0,"Free C95, 2 still active"
1774881025.1,QUEUED,C98,"C98 queued (WAITING_MEMORY, needs 2136 MB)","C96, C97",2373.0,57.94%,1723.0,C98 blocked - WAITING_MEMORY (free 1723 < needed 2136)
1774881078.8,COMPLETION,C96,C96 completes (free 949 MB),C97,1423.8,34.76%,2672.2,"Free C96, 1 still active"
1774881078.8,LAUNCH,C98,"Launch C98 (type 2/3, 2136 MB)","C97, C98",3559.6,86.90%,536.4,"C98 starts, 2 now active"
1774881080.1,QUEUED,C99,"C99 queued (WAITING_MEMORY, needs 3204 MB)","C97, C98",3559.6,86.90%,536.4,C99 blocked - WAITING_MEMORY (free 536 < needed 3204)
1774881083.9,COMPLETION,C97,C97 completes (free 1424 MB),C98,2135.7,52.14%,1960.3,"Free C97, 1 still active"
1774881142.6,COMPLETION,C98,C98 completes (free 2136 MB),(empty),0.0,0.00%,4096.0,"Free C98, was queued for 1 event(s)"
1774881142.6,LAUNCH,C99,"Launch C99 (type 3/3, 3204 MB)",C99,3203.6,78.21%,892.4,C99 starts
1774881145.2,LAUNCH,C100,"Launch C100 (type 1/3, 125 MB)","C99, C100",3328.6,81.26%,767.4,"C100 starts, 2 now active"
1774881150.2,LAUNCH,C101,"Launch C101 (type 2/3, 188 MB)","C99, C100, C101",3516.1,85.84%,579.9,"C101 starts, 3 now active"
1774881206.5,COMPLETION,C99,C99 completes (free 3204 MB),"C100, C101",312.5,7.63%,3783.5,"Free C99, was queued for 1 event(s), 2 still active"
1774881208.8,COMPLETION,C100,C100 completes (free 125 MB),C101,187.5,4.58%,3908.5,"Free C100, 1 still active"
1774881210.2,LAUNCH,C102,"Launch C102 (type 3/3, 281 MB)","C101, C102",468.8,11.44%,3627.2,"C102 starts, 2 now active"
1774881213.8,COMPLETION,C101,C101 completes (free 188 MB),C102,281.2,6.87%,3814.8,"Free C101, 1 still active"
1774881215.2,LAUNCH,C103,"Launch C103 (type 1/3, 422 MB)","C102, C103",703.1,17.17%,3392.9,"C103 starts, 2 now active"
1774881220.2,LAUNCH,C104,"Launch C104 (type 2/3, 633 MB)","C102, C103, C104",1335.9,32.62%,2760.1,"C104 starts, 3 now active"
1774881273.8,COMPLETION,C102,C102 completes (free 281 MB),"C103, C104",1054.7,25.75%,3041.3,"Free C102, 2 still active"
1774881275.2,LAUNCH,C105,"Launch C105 (type 3/3, 949 MB)","C103, C104, C105",2003.9,48.92%,2092.1,"C105 starts, 3 now active"
1774881278.9,COMPLETION,C103,C103 completes (free 422 MB),"C104, C105",1582.0,38.62%,2514.0,"Free C103, 2 still active"
1774881280.3,LAUNCH,C106,"Launch C106 (type 1/3, 1424 MB)","C104, C105, C106",3005.9,73.39%,1090.1,"C106 starts, 3 now active"
1774881283.9,COMPLETION,C104,C104 completes (free 633 MB),"C105, C106",2373.0,57.94%,1723.0,"Free C104, 2 still active"
1774881285.3,QUEUED,C107,"C107 queued (WAITING_MEMORY, needs 2136 MB)","C105, C106",2373.0,57.94%,1723.0,C107 blocked - WAITING_MEMORY (free 1723 < needed 2136)
1774881339.1,COMPLETION,C105,C105 completes (free 949 MB),C106,1423.8,34.76%,2672.2,"Free C105, 1 still active"
1774881339.1,LAUNCH,C107,"Launch C107 (type 2/3, 2136 MB)","C106, C107",3559.6,86.90%,536.4,"C107 starts, 2 now active"
1774881340.3,QUEUED,C108,"C108 queued (WAITING_MEMORY, needs 3204 MB)","C106, C107",3559.6,86.90%,536.4,C108 blocked - WAITING_MEMORY (free 536 < needed 3204)
1774881344.1,COMPLETION,C106,C106 completes (free 1424 MB),C107,2135.7,52.14%,1960.3,"Free C106, 1 still active"
1774881402.9,COMPLETION,C107,C107 completes (free 2136 MB),(empty),0.0,0.00%,4096.0,"Free C107, was queued for 1 event(s)"
1774881402.9,LAUNCH,C108,"Launch C108 (type 3/3, 3204 MB)",C108,3203.6,78.21%,892.4,C108 starts
1774881405.3,LAUNCH,C109,"Launch C109 (type 1/3, 125 MB)","C108, C109",3328.6,81.26%,767.4,"C109 starts, 2 now active"
1774881410.3,LAUNCH,C110,"Launch C110 (type 2/3, 188 MB)","C108, C109, C110",3516.1,85.84%,579.9,"C110 starts, 3 now active"
1774881466.8,COMPLETION,C108,C108 completes (free 3204 MB),"C109, C110",312.5,7.63%,3783.5,"Free C108, was queued for 1 event(s), 2 still active"
1774881469.1,COMPLETION,C109,C109 completes (free 125 MB),C110,187.5,4.58%,3908.5,"Free C109, 1 still active"
1774881470.4,LAUNCH,C111,"Launch C111 (type 3/3, 281 MB)","C110, C111",468.8,11.44%,3627.2,"C111 starts, 2 now active"
1774881474.1,COMPLETION,C110,C110 completes (free 188 MB),C111,281.2,6.87%,3814.8,"Free C110, 1 still active"
1774881475.4,LAUNCH,C112,"Launch C112 (type 1/3, 422 MB)","C111, C112",703.1,17.17%,3392.9,"C112 starts, 2 now active"
1774881480.4,LAUNCH,C113,"Launch C113 (type 2/3, 633 MB)","C111, C112, C113",1335.9,32.62%,2760.1,"C113 starts, 3 now active"
1774881534.2,COMPLETION,C111,C111 completes (free 281 MB),"C112, C113",1054.7,25.75%,3041.3,"Free C111, 2 still active"
1774881535.5,LAUNCH,C114,"Launch C114 (type 3/3, 949 MB)","C112, C113, C114",2003.9,48.92%,2092.1,"C114 starts, 3 now active"
1774881539.1,COMPLETION,C112,C112 completes (free 422 MB),"C113, C114",1582.0,38.62%,2514.0,"Free C112, 2 still active"
1774881540.5,LAUNCH,C115,"Launch C115 (type 1/3, 1424 MB)","C113, C114, C115",3005.9,73.39%,1090.1,"C115 starts, 3 now active"
1774881544.3,COMPLETION,C113,C113 completes (free 633 MB),"C114, C115",2373.0,57.94%,1723.0,"Free C113, 2 still active"
1774881545.5,QUEUED,C116,"C116 queued (WAITING_MEMORY, needs 2136 MB)","C114, C115",2373.0,57.94%,1723.0,C116 blocked - WAITING_MEMORY (free 1723 < needed 2136)
1774881599.1,COMPLETION,C114,C114 completes (free 949 MB),C115,1423.8,34.76%,2672.2,"Free C114, 1 still active"
1774881599.1,LAUNCH,C116,"Launch C116 (type 2/3, 2136 MB)","C115, C116",3559.6,86.90%,536.4,"C116 starts, 2 now active"
1774881600.5,QUEUED,C117,"C117 queued (WAITING_MEMORY, needs 3204 MB)","C115, C116",3559.6,86.90%,536.4,C117 blocked - WAITING_MEMORY (free 536 < needed 3204)
1774881604.3,COMPLETION,C115,C115 completes (free 1424 MB),C116,2135.7,52.14%,1960.3,"Free C115, 1 still active"
1774881662.9,COMPLETION,C116,C116 completes (free 2136 MB),(empty),0.0,0.00%,4096.0,"Free C116, was queued for 1 event(s)"
1774881662.9,LAUNCH,C117,"Launch C117 (type 3/3, 3204 MB)",C117,3203.6,78.21%,892.4,C117 starts
1774881665.6,LAUNCH,C118,"Launch C118 (type 1/3, 125 MB)","C117, C118",3328.6,81.26%,767.4,"C118 starts, 2 now active"
1774881670.6,LAUNCH,C119,"Launch C119 (type 2/3, 188 MB)","C117, C118, C119",3516.1,85.84%,579.9,"C119 starts, 3 now active"
1774881726.7,COMPLETION,C117,C117 completes (free 3204 MB),"C118, C119",312.5,7.63%,3783.5,"Free C117, was queued for 1 event(s), 2 still active"
1774881729.2,COMPLETION,C118,C118 completes (free 125 MB),C119,187.5,4.58%,3908.5,"Free C118, 1 still active"
1774881730.6,LAUNCH,C120,"Launch C120 (type 3/3, 281 MB)","C119, C120",468.8,11.44%,3627.2,"C120 starts, 2 now active"
1774881734.3,COMPLETION,C119,C119 completes (free 188 MB),C120,281.2,6.87%,3814.8,"Free C119, 1 still active"
1774881735.6,LAUNCH,C121,"Launch C121 (type 1/3, 422 MB)","C120, C121",703.1,17.17%,3392.9,"C121 starts, 2 now active"
1774881740.6,LAUNCH,C122,"Launch C122 (type 2/3, 633 MB)","C120, C121, C122",1335.9,32.62%,2760.1,"C122 starts, 3 now active"
1774881794.3,COMPLETION,C120,C120 completes (free 281 MB),"C121, C122",1054.7,25.75%,3041.3,"Free C120, 2 still active"
1774881795.7,LAUNCH,C123,"Launch C123 (type 3/3, 949 MB)","C121, C122, C123",2003.9,48.92%,2092.1,"C123 starts, 3 now active"
1774881799.3,COMPLETION,C121,C121 completes (free 422 MB),"C122, C123",1582.0,38.62%,2514.0,"Free C121, 2 still active"
1774881800.7,LAUNCH,C124,"Launch C124 (type 1/3, 1424 MB)","C122, C123, C124",3005.9,73.39%,1090.1,"C124 starts, 3 now active"
1774881804.5,COMPLETION,C122,C122 completes (free 633 MB),"C123, C124",2373.0,57.94%,1723.0,"Free C122, 2 still active"
1774881805.7,QUEUED,C125,"C125 queued (WAITING_MEMORY, needs 2136 MB)","C123, C124",2373.0,57.94%,1723.0,C125 blocked - WAITING_MEMORY (free 1723 < needed 2136)
1774881859.4,COMPLETION,C123,C123 completes (free 949 MB),C124,1423.8,34.76%,2672.2,"Free C123, 1 still active"
1774881859.4,LAUNCH,C125,"Launch C125 (type 2/3, 2136 MB)","C124, C125",3559.6,86.90%,536.4,"C125 starts, 2 now active"
1774881860.7,QUEUED,C126,"C126 queued (WAITING_MEMORY, needs 3204 MB)","C124, C125",3559.6,86.90%,536.4,C126 blocked - WAITING_MEMORY (free 536 < needed 3204)
1774881864.5,COMPLETION,C124,C124 completes (free 1424 MB),C125,2135.7,52.14%,1960.3,"Free C124, 1 still active"
1774881923.2,COMPLETION,C125,C125 completes (free 2136 MB),(empty),0.0,0.00%,4096.0,"Free C125, was queued for 1 event(s)"
1774881923.2,LAUNCH,C126,"Launch C126 (type 3/3, 3204 MB)",C126,3203.6,78.21%,892.4,C126 starts
1774881925.8,LAUNCH,C127,"Launch C127 (type 1/3, 125 MB)","C126, C127",3328.6,81.26%,767.4,"C127 starts, 2 now active"
1774881930.8,LAUNCH,C128,"Launch C128 (type 2/3, 188 MB)","C126, C127, C128",3516.1,85.84%,579.9,"C128 starts, 3 now active"

TIMELINE SUMMARY
Metric,Value,Unit
Total Events,281,count
Container Launches,128,count
Container Completions,125,count
Queue Events,28,count
Timeline Start,1774878337.0,seconds
Timeline End,1774881930.8,seconds
Total Duration,3593.8,seconds
Average Event Interval,12.79,seconds

QUEUE ANALYSIS (from timeline)
WAITING_MEMORY Events,28,count
WAITING_SLOT Events,0,count
