CONTAINER EXECUTION DATA
Configuration:
  Total GPU Memory: 4096.0 MB
  Base Memory: 862.0 MB
  Memory Multiplier: 1.5

Container ID,Memory Allocated (MB),Expected Duration (s),Launch Time (s),Completion Time (s),Actual Duration (s),Duration Accuracy,Success,Execution Status,Memory Efficiency %
165,1939.5,60,1774280673.47,1774280737.08,63.60,94.0%,Yes,✓ Completed,47.4%
166,862.0,60,1774280728.48,N/A,0.00,N/A,No,✗ Failed,21.0%
167,1293.0,60,1774280733.48,N/A,0.00,N/A,No,✗ Failed,31.6%
168,1939.5,60,1774280738.48,N/A,0.00,N/A,No,✗ Failed,47.4%

SUMMARY STATISTICS
Metric,Value,Unit
Total Containers Executed,168,count
Successful Containers,165,count
Failed Containers,3,count
Success Rate,98.2,%

MEMORY UTILIZATION (WITH RESET EVERY 3)
Peak Cycle Utilization,99.96%,C1+C2+C3 = 4094.5 / 4096 MB
Cycle Memory (C1),862.0,MB (position 1)
Cycle Memory (C2),1293.0,MB (position 2)
Cycle Memory (C3),1939.5,MB (position 3)
Cycle Total,4094.5,MB (total per cycle)
