timestamp_s,time_hms,active_containers,memory_mb,utilization_percent
25530,07:05:30,3,4094.5,99.96
25560,07:06:00,3,4094.5,99.96
25590,07:06:30,3,4094.5,99.96
25620,07:07:00,3,4094.5,99.96
25650,07:07:30,3,4094.5,99.96
25680,07:08:00,3,4094.5,99.96
25710,07:08:30,3,4094.5,99.96
25740,07:09:00,3,4094.5,99.96
25770,07:09:30,3,4094.5,99.96
25800,07:10:00,3,4094.5,99.96
25830,07:10:30,3,4094.5,99.96
25860,07:11:00,3,4094.5,99.96
25890,07:11:30,3,4094.5,99.96
25920,07:12:00,3,4094.5,99.96
25950,07:12:30,3,4094.5,99.96
25980,07:13:00,3,4094.5,99.96
26010,07:13:30,3,4094.5,99.96
26040,07:14:00,3,4094.5,99.96
26070,07:14:30,3,4094.5,99.96
26100,07:15:00,3,4094.5,99.96
26130,07:15:30,3,4094.5,99.96
26160,07:16:00,3,4094.5,99.96
26190,07:16:30,3,4094.5,99.96
26220,07:17:00,3,4094.5,99.96
26250,07:17:30,3,4094.5,99.96
26280,07:18:00,3,4094.5,99.96
26310,07:18:30,3,4094.5,99.96
26340,07:19:00,3,4094.5,99.96
26370,07:19:30,3,4094.5,99.96
26400,07:20:00,3,4094.5,99.96
26430,07:20:30,3,4094.5,99.96
26460,07:21:00,3,4094.5,99.96
26490,07:21:30,3,4094.5,99.96
26520,07:22:00,3,4094.5,99.96
26550,07:22:30,3,4094.5,99.96
26580,07:23:00,3,4094.5,99.96
26610,07:23:30,3,4094.5,99.96
26640,07:24:00,3,4094.5,99.96
26670,07:24:30,3,4094.5,99.96
26700,07:25:00,3,4094.5,99.96
26730,07:25:30,3,4094.5,99.96
26760,07:26:00,3,4094.5,99.96
26790,07:26:30,3,4094.5,99.96
26820,07:27:00,3,4094.5,99.96
26850,07:27:30,3,4094.5,99.96
26880,07:28:00,3,4094.5,99.96
26910,07:28:30,3,4094.5,99.96
26940,07:29:00,3,4094.5,99.96
26970,07:29:30,3,4094.5,99.96
27000,07:30:00,3,4094.5,99.96
27030,07:30:30,3,4094.5,99.96
27060,07:31:00,3,4094.5,99.96
27090,07:31:30,3,4094.5,99.96
27120,07:32:00,3,4094.5,99.96
27150,07:32:30,3,4094.5,99.96
27180,07:33:00,3,4094.5,99.96
27210,07:33:30,3,4094.5,99.96
27240,07:34:00,3,4094.5,99.96
27270,07:34:30,3,4094.5,99.96
27300,07:35:00,3,4094.5,99.96
27330,07:35:30,3,4094.5,99.96
27360,07:36:00,3,4094.5,99.96
27390,07:36:30,3,4094.5,99.96
27420,07:37:00,3,4094.5,99.96
27450,07:37:30,3,4094.5,99.96
27480,07:38:00,3,4094.5,99.96
27510,07:38:30,3,4094.5,99.96
27540,07:39:00,3,4094.5,99.96
